customer_id,recency,frequency,monetary,cluster,segment
C100132,136,5,551952.79,1,At Risk
C100133,213,7,783947.34,3,Loyal Customers
C100134,5,9,758209.34,3,Loyal Customers
C100135,39,5,568675.59,1,At Risk
C100136,131,8,563164.95,3,Loyal Customers
C100137,41,9,1275039.39,0,Champions
C100138,188,11,546875.84,3,Loyal Customers
C100139,54,7,703184.53,3,Loyal Customers
C100140,17,12,1626820.8900000001,0,Champions
C100141,580,2,370256.91,2,New / Low Engagement
C100142,240,3,118993.38,1,At Risk
C100143,237,6,616708.34,1,At Risk
C100144,84,4,479276.91000000003,1,At Risk
C100145,113,7,628999.6000000001,1,At Risk
C100146,96,10,517803.91000000003,3,Loyal Customers
C100147,400,6,534592.35,2,New / Low Engagement
C100148,412,4,336664.63,2,New / Low Engagement
C100149,357,5,465889.76,2,New / Low Engagement
C100150,18,8,354946.58999999997,1,At Risk
C100151,75,9,426934.7905,3,Loyal Customers
C100152,118,8,928606.0700000001,3,Loyal Customers
C100153,258,6,312156.51399999997,1,At Risk
C100154,186,8,1082159.03,3,Loyal Customers
C100155,256,5,561142.21,1,At Risk
C100156,20,6,368000.02,1,At Risk
C100157,44,8,600560.54,3,Loyal Customers
C100158,73,4,395393.68,1,At Risk
C100159,160,9,827769.26,3,Loyal Customers
C100160,58,12,1691837.92,0,Champions
C100161,159,6,539844.94,1,At Risk
C100162,43,6,1172695.84,3,Loyal Customers
C100163,301,14,1457536.926,0,Champions
C100164,218,2,385295.76,1,At Risk
C100165,107,6,727651.01,1,At Risk
C100166,96,8,877768.9,3,Loyal Customers
C100167,222,6,651294.8,1,At Risk
C100168,42,6,506148.46,1,At Risk
C100169,37,12,2211254.34,0,Champions
C100170,59,8,552400.89,3,Loyal Customers
C100171,46,6,1081216.54,3,Loyal Customers
C100172,6,8,1174795.8900000001,3,Loyal Customers
C100173,78,9,499614.75,3,Loyal Customers
C100174,135,5,521535.51,1,At Risk
C100175,112,9,897783.17,3,Loyal Customers
C100176,587,3,380031.3,2,New / Low Engagement
C100177,241,5,967755.4299999999,3,Loyal Customers
C100178,176,9,1199491.95,3,Loyal Customers
C100179,242,10,1517838.78,0,Champions
C100180,14,7,372978.88,1,At Risk
C100181,181,6,758640.9700000001,1,At Risk
C100182,370,7,571387.27,2,New / Low Engagement
C100183,62,7,442656.58,1,At Risk
C100184,28,7,936118.8200000001,3,Loyal Customers
C100185,56,12,870986.7000000001,0,Champions
C100186,34,4,394059.64,1,At Risk
C100187,31,11,909038.82,3,Loyal Customers
C100188,58,3,150733.05,1,At Risk
C100189,233,5,337551.35,1,At Risk
C100190,517,4,325869.88,2,New / Low Engagement
C100191,47,6,435233.701,1,At Risk
C100192,91,5,409878.52,1,At Risk
C100193,81,8,709154.6780000001,3,Loyal Customers
C100194,149,6,511328.76,1,At Risk
C100195,191,5,523954.82,1,At Risk
C100196,349,10,1334414.42,0,Champions
C100197,241,6,474892.56,1,At Risk
C100198,16,5,667227.86,1,At Risk
C100199,2,10,1251907.4,0,Champions
C100200,12,8,931669.41,3,Loyal Customers
C100201,578,3,461928.07,2,New / Low Engagement
C100202,49,8,392659.9,1,At Risk
C100203,29,4,339672.80000000005,1,At Risk
C100204,30,6,427001.536,1,At Risk
C100205,326,6,529418.4099999999,2,New / Low Engagement
C100206,233,7,468024.58,1,At Risk
C100207,262,10,722383.22,3,Loyal Customers
C100208,138,9,1331981.84,0,Champions
C100209,103,9,1540884.73,0,Champions
C100210,113,11,1068907.59,0,Champions
C100211,81,6,718876.39,1,At Risk
C100212,232,5,817732.15,1,At Risk
C100213,223,9,773686.94,3,Loyal Customers
C100214,112,10,1023417.32,3,Loyal Customers
C100215,270,8,939717.28,3,Loyal Customers
C100216,32,9,1092049.625,3,Loyal Customers
C100217,79,9,1127794.6099999999,3,Loyal Customers
C100218,136,6,608002.61,1,At Risk
C100219,152,8,668595.2,3,Loyal Customers
C100220,97,8,1271720.6,3,Loyal Customers
C100221,462,1,190662.33,2,New / Low Engagement
C100222,403,7,651220.1,2,New / Low Engagement
C100223,97,8,891964.73,3,Loyal Customers
C100224,248,8,1053150.55,3,Loyal Customers
C100225,215,8,950615.19,3,Loyal Customers
C100226,108,3,166434.57,1,At Risk
C100227,1,17,1392649.19,0,Champions
C100228,200,10,751038.28,3,Loyal Customers
C100229,19,12,1412857.09,0,Champions
C100230,95,7,307914.96,1,At Risk
C100231,52,9,1549584.77,0,Champions
C100232,285,6,567494.74,2,New / Low Engagement
C100233,149,17,1999004.775,0,Champions
C100234,259,7,735193.85,3,Loyal Customers
C100235,87,14,1210726.76,0,Champions
C100236,21,11,1598123.35,0,Champions
C100237,73,8,730669.16,3,Loyal Customers
C100238,267,6,226227.36000000002,1,At Risk
C100239,32,14,1830000.6,0,Champions
C100240,614,8,325566.02,2,New / Low Engagement
C100241,14,12,1155466.93,0,Champions
C100242,3,6,448956.27,1,At Risk
C100243,30,7,353346.54000000004,1,At Risk
C100244,20,11,1110778.74,0,Champions
C100245,1,4,392119.42,1,At Risk
C100246,33,15,1622547.07,0,Champions
C100247,165,6,572109.62,1,At Risk
C100248,486,4,289815.51,2,New / Low Engagement
C100249,15,8,576532.2,3,Loyal Customers
C100250,101,6,615628.15,1,At Risk
C100251,281,4,604867.88,2,New / Low Engagement
C100252,41,10,1214416.0,0,Champions
C100253,61,5,600354.89,1,At Risk
C100254,218,6,794736.12,3,Loyal Customers
C100255,33,3,262087.61,1,At Risk
C100256,51,5,683120.99,1,At Risk
C100257,52,7,507920.71,1,At Risk
C100258,154,8,1062440.15,3,Loyal Customers
C100259,106,12,945004.36,0,Champions
C100260,25,6,881188.79,3,Loyal Customers
C100261,139,5,434626.63,1,At Risk
C100262,317,6,516352.58,2,New / Low Engagement
C100263,81,7,785919.66,3,Loyal Customers
C100264,10,7,995352.22,3,Loyal Customers
C100265,324,7,798891.99,2,New / Low Engagement
C100266,2,10,1479774.63,0,Champions
C100267,121,6,1236494.38,3,Loyal Customers
C100268,225,10,836797.54,3,Loyal Customers
C100269,202,13,1024608.622,0,Champions
C100270,49,6,486335.35,1,At Risk
C100271,86,6,519080.47000000003,1,At Risk
C100272,99,3,309470.79,1,At Risk
C100273,649,4,450440.13,2,New / Low Engagement
C100274,81,3,600394.0599999999,1,At Risk
C100275,374,6,590621.66,2,New / Low Engagement
C100276,33,10,1383433.75,0,Champions
C100277,31,7,578538.1799999999,1,At Risk
C100278,18,10,1203965.3800000001,0,Champions
C100279,85,10,852086.9299999999,3,Loyal Customers
C100280,47,13,1307183.878,0,Champions
C100281,57,11,1004923.1599999999,0,Champions
C100282,417,5,430758.9,2,New / Low Engagement
C100283,51,9,945073.7,3,Loyal Customers
C100284,99,14,1803638.01,0,Champions
C100285,376,4,239963.5,2,New / Low Engagement
C100286,17,6,305459.44,1,At Risk
C100287,54,7,767527.56,3,Loyal Customers
C100288,60,7,786636.46,3,Loyal Customers
C100289,50,8,946953.2399999999,3,Loyal Customers
C100290,108,10,1011893.91,3,Loyal Customers
C100291,52,9,1211430.9100000001,0,Champions
C100292,621,6,479645.57,2,New / Low Engagement
C100293,100,8,735700.29,3,Loyal Customers
C100294,36,7,833747.27,3,Loyal Customers
C100295,239,9,807493.32,3,Loyal Customers
C100296,3,8,698304.29,3,Loyal Customers
C100297,281,7,832232.75,3,Loyal Customers
C100298,12,6,198005.73,1,At Risk
C100299,134,6,630568.56,1,At Risk
C100300,55,11,1481950.91,0,Champions
C100301,41,9,690928.49,3,Loyal Customers
C100302,93,4,400385.555,1,At Risk
C100303,33,8,551206.97,3,Loyal Customers
C100304,232,5,640871.69,1,At Risk
C100305,194,6,784296.53,3,Loyal Customers
C100306,171,6,326180.70999999996,1,At Risk
C100307,4,3,563177.4400000001,1,At Risk
C100308,296,4,230118.38,2,New / Low Engagement
C100309,391,7,1115041.742,2,New / Low Engagement
C100310,112,7,975148.6799999999,3,Loyal Customers
C100311,9,8,706867.78,3,Loyal Customers
C100312,92,8,678979.4,3,Loyal Customers
C100313,274,5,194437.84,1,At Risk
C100314,102,10,834574.52,3,Loyal Customers
C100315,170,6,603738.88,1,At Risk
C100316,436,10,495568.75,2,New / Low Engagement
C100317,231,10,1098220.62,3,Loyal Customers
C100318,187,8,1028642.87,3,Loyal Customers
C100319,343,6,333505.446,2,New / Low Engagement
C100320,103,4,582227.78,1,At Risk
C100321,229,7,743164.3,3,Loyal Customers
C100322,104,8,922111.5800000001,3,Loyal Customers
C100323,144,3,193550.91999999998,1,At Risk
C100324,9,4,717813.64,1,At Risk
C100325,49,12,1139252.65,0,Champions
C100326,398,6,665694.97,2,New / Low Engagement
C100327,191,8,966808.91,3,Loyal Customers
C100328,69,9,1143347.18,3,Loyal Customers
C100329,35,8,1146470.56,3,Loyal Customers
C100330,32,10,1167715.86,0,Champions
C100331,20,10,1280529.55,0,Champions
C100332,36,4,515887.97000000003,1,At Risk
C100333,68,5,332606.98,1,At Risk
C100334,104,9,888587.91,3,Loyal Customers
C100335,167,4,717948.65,1,At Risk
C100336,176,4,413617.47000000003,1,At Risk
C100337,243,9,920015.112,3,Loyal Customers
C100338,150,11,1105361.56,0,Champions
C100339,60,16,1504772.82,0,Champions
C100340,145,13,711307.02,3,Loyal Customers
C100341,233,8,639248.74,3,Loyal Customers
C100342,147,4,500306.13,1,At Risk
C100343,65,8,788419.68,3,Loyal Customers
C100344,45,10,1197188.388,0,Champions
C100345,64,10,832601.6,3,Loyal Customers
C100346,51,11,1376570.06,0,Champions
C100347,333,7,899564.14,2,New / Low Engagement
C100348,88,8,1086440.52,3,Loyal Customers
C100349,13,5,520596.11,1,At Risk
C100350,35,7,332941.24,1,At Risk
C100351,59,5,259522.88,1,At Risk
C100352,78,14,2254145.6,0,Champions
C100353,92,8,734323.11,3,Loyal Customers
C100354,126,6,548082.72,1,At Risk
C100355,58,6,782405.26,3,Loyal Customers
C100356,262,11,1446814.8,0,Champions
C100357,170,9,1262122.58,0,Champions
C100358,238,3,243590.896,1,At Risk
C100359,379,8,826380.59,2,New / Low Engagement
C100360,15,6,407516.37,1,At Risk
C100361,58,10,1097632.3,0,Champions
C100362,276,4,256567.19,2,New / Low Engagement
C100363,617,3,174472.95,2,New / Low Engagement
C100364,90,10,1866229.0925,0,Champions
C100365,87,9,754746.03,3,Loyal Customers
C100366,54,8,1208098.66,3,Loyal Customers
C100367,15,8,547070.694,3,Loyal Customers
C100368,65,15,1341449.27,0,Champions
C100369,231,3,260539.86,1,At Risk
C100370,165,6,211176.97,1,At Risk
C100371,193,6,807660.32,3,Loyal Customers
C100372,4,6,677066.9,1,At Risk
C100373,136,5,721647.31,1,At Risk
C100374,38,9,653113.63,3,Loyal Customers
C100375,39,13,1608887.89,0,Champions
C100376,48,12,1236766.825,0,Champions
C100377,86,4,241215.33999999997,1,At Risk
C100378,165,4,693664.75,1,At Risk
C100379,426,6,322434.87,2,New / Low Engagement
C100380,210,5,693455.24,1,At Risk
C100381,175,9,1018222.89,3,Loyal Customers
C100382,253,6,235872.87,1,At Risk
C100383,415,7,940475.47,2,New / Low Engagement
C100384,46,7,565668.2,1,At Risk
C100385,13,12,954637.5,0,Champions
C100386,279,7,544340.71,2,New / Low Engagement
C100387,99,11,1142522.63,0,Champions
C100388,63,10,830096.33,3,Loyal Customers
C100389,118,9,901655.86,3,Loyal Customers
C100390,261,7,444731.70999999996,1,At Risk
C100391,415,5,420662.48,2,New / Low Engagement
C100392,158,7,962582.16,3,Loyal Customers
C100393,174,8,794895.98,3,Loyal Customers
C100394,357,7,1142241.02,2,New / Low Engagement
C100395,106,7,1122946.28,3,Loyal Customers
C100396,176,8,943482.6399999999,3,Loyal Customers
C100397,70,4,207099.59000000003,1,At Risk
C100398,74,8,1097022.56,3,Loyal Customers
C100399,453,4,274122.56,2,New / Low Engagement
C100400,199,5,226835.7,1,At Risk
C100401,430,10,652079.3,2,New / Low Engagement
C100402,20,11,1248418.14,0,Champions
C100403,368,5,994516.9400000001,2,New / Low Engagement
C100404,19,4,340361.64,1,At Risk
C100405,53,7,434444.14999999997,1,At Risk
C100406,109,4,393037.54,1,At Risk
C100407,247,7,592136.9400000001,1,At Risk
C100408,468,7,696437.74,2,New / Low Engagement
C100409,65,12,1353597.31,0,Champions
C100410,216,14,1328994.676,0,Champions
C100411,90,5,457248.58,1,At Risk
C100412,32,11,1097653.9300000002,0,Champions
C100413,28,7,535725.7100000001,1,At Risk
C100414,1,11,1144675.1,0,Champions
C100415,445,5,512733.22000000003,2,New / Low Engagement
C100416,98,7,200934.492,1,At Risk
C100417,49,9,576078.4,3,Loyal Customers
C100418,82,9,1024718.67,3,Loyal Customers
C100419,355,6,809190.0800000001,2,New / Low Engagement
C100420,191,8,889001.41,3,Loyal Customers
C100421,160,8,774297.3200000001,3,Loyal Customers
C100422,77,5,760019.85,1,At Risk
C100423,282,6,693542.5,2,New / Low Engagement
C100424,240,5,394734.86,1,At Risk
C100425,207,6,652705.02,1,At Risk
C100426,824,2,360759.79000000004,2,New / Low Engagement
C100427,218,2,201324.58000000002,1,At Risk
C100428,31,11,795189.1,3,Loyal Customers
C100429,78,8,1041629.33,3,Loyal Customers
C100430,57,9,998561.25,3,Loyal Customers
C100431,41,7,861686.78,3,Loyal Customers
C100432,36,11,1624271.67,0,Champions
C100433,53,4,505847.70999999996,1,At Risk
C100434,127,8,822961.63,3,Loyal Customers
C100435,137,7,440350.602,1,At Risk
C100436,64,6,417862.83999999997,1,At Risk
C100437,89,8,615571.31,3,Loyal Customers
C100438,228,6,443588.13,1,At Risk
C100439,78,9,1426892.07,0,Champions
C100440,44,10,808786.77,3,Loyal Customers
C100441,47,6,813535.67,3,Loyal Customers
C100442,190,6,343006.61,1,At Risk
C100443,54,8,1046651.81,3,Loyal Customers
C100444,98,8,1015732.85,3,Loyal Customers
C100445,430,2,92822.10999999999,2,New / Low Engagement
C100446,86,10,954560.12,3,Loyal Customers
C100447,14,7,815086.17,3,Loyal Customers
C100448,68,7,820811.08,3,Loyal Customers
C100449,61,11,1214213.23,0,Champions
C100450,18,2,157641.72,1,At Risk
C100451,52,6,587474.09,1,At Risk
C100452,129,6,859613.61,3,Loyal Customers
C100453,115,8,1392638.76,0,Champions
C100454,15,4,541040.25,1,At Risk
C100455,26,9,1319575.75,0,Champions
C100456,2,9,938111.5700000001,3,Loyal Customers
C100457,36,9,949757.19,3,Loyal Customers
C100458,196,7,640496.34,3,Loyal Customers
C100459,637,6,798977.7339999999,2,New / Low Engagement
C100460,29,5,687861.3200000001,1,At Risk
C100461,112,11,1251312.0,0,Champions
C100462,114,9,1189708.55,3,Loyal Customers
C100463,48,12,1373577.04,0,Champions
C100464,33,9,550823.28,3,Loyal Customers
C100465,180,11,1339436.29,0,Champions
C100466,468,6,428950.92,2,New / Low Engagement
C100467,44,6,480514.63,1,At Risk
C100468,243,7,1069960.42,3,Loyal Customers
C100469,10,7,529438.0,1,At Risk
C100470,230,9,805812.89,3,Loyal Customers
C100471,268,9,807321.996,3,Loyal Customers
C100472,36,9,1043440.16,3,Loyal Customers
C100473,248,5,428803.25,1,At Risk
C100474,121,3,200393.14,1,At Risk
C100475,119,8,609172.27,3,Loyal Customers
C100476,4,6,892663.59,3,Loyal Customers
C100477,165,9,855790.92,3,Loyal Customers
C100478,53,6,805368.56,3,Loyal Customers
C100479,23,9,1479393.69,0,Champions
C100480,69,7,916113.26,3,Loyal Customers
C100481,39,4,480410.45000000007,1,At Risk
C100482,7,9,1061881.95,3,Loyal Customers
C100483,127,7,421325.67,1,At Risk
C100484,65,7,350239.11,1,At Risk
C100485,195,9,1213483.65,3,Loyal Customers
C100486,86,8,1010023.14,3,Loyal Customers
C100487,79,6,889899.39,3,Loyal Customers
C100488,82,10,851334.0399999999,3,Loyal Customers
C100489,98,12,1497087.496,0,Champions
C100490,11,7,654002.29,3,Loyal Customers
C100491,72,6,593919.59,1,At Risk
C100492,85,12,1373636.25,0,Champions
C100493,569,6,643216.77,2,New / Low Engagement
C100494,11,5,538299.78,1,At Risk
C100495,118,10,1327691.84,0,Champions
C100496,487,9,1338015.53,2,New / Low Engagement
C100497,225,9,891744.89,3,Loyal Customers
C100498,7,8,806497.38,3,Loyal Customers
C100499,14,8,667745.94,3,Loyal Customers
C100500,90,8,950832.61,3,Loyal Customers
C100501,196,9,1092379.91,3,Loyal Customers
C100502,164,2,224821.85,1,At Risk
C100503,289,4,262448.28,2,New / Low Engagement
C100504,84,10,1217307.24,0,Champions
C100505,27,8,601794.23,3,Loyal Customers
C100506,361,9,565579.5499999999,2,New / Low Engagement
C100507,193,7,516736.14,1,At Risk
C100508,40,7,826909.87,3,Loyal Customers
C100509,508,7,1015792.1000000001,2,New / Low Engagement
C100510,29,10,1016174.8,3,Loyal Customers
C100511,878,3,255639.58000000002,2,New / Low Engagement
C100512,381,5,862260.42,2,New / Low Engagement
C100513,179,10,599452.27,3,Loyal Customers
C100514,276,10,833796.65,3,Loyal Customers
C100515,174,8,634812.07,3,Loyal Customers
C100516,95,7,1221471.21,3,Loyal Customers
C100517,479,5,899929.54,2,New / Low Engagement
C100518,101,8,1295077.242,3,Loyal Customers
C100519,92,7,474674.56000000006,1,At Risk
C100520,305,10,996219.9400000001,3,Loyal Customers
C100521,157,13,1182381.03,0,Champions
C100522,150,7,699576.64,3,Loyal Customers
C100523,100,11,1256335.9100000001,0,Champions
C100524,193,12,751178.42,3,Loyal Customers
C100525,409,10,937160.3099999999,2,New / Low Engagement
C100526,289,2,164615.57,2,New / Low Engagement
C100527,130,12,1566380.2,0,Champions
C100528,98,6,707786.87,1,At Risk
C100529,345,3,253821.34,2,New / Low Engagement
C100530,228,12,1307089.05,0,Champions
C100531,156,10,966023.9199999999,3,Loyal Customers
C100532,29,9,537881.9299999999,3,Loyal Customers
C100533,84,9,972116.96,3,Loyal Customers
C100534,107,9,1075783.53,3,Loyal Customers
C100535,152,13,1643773.6800000002,0,Champions
C100536,126,8,1562589.58,0,Champions
C100537,102,5,695452.5,1,At Risk
C100538,368,7,1124252.1800000002,2,New / Low Engagement
C100539,188,4,424117.14,1,At Risk
C100540,49,6,940894.7999999999,3,Loyal Customers
C100541,45,9,863835.47,3,Loyal Customers
C100542,9,10,741202.54,3,Loyal Customers
C100543,8,6,640676.84,1,At Risk
C100544,329,7,462336.28,2,New / Low Engagement
C100545,239,8,662707.49,3,Loyal Customers
C100546,93,12,1581323.87,0,Champions
C100547,217,5,280341.9,1,At Risk
C100548,33,9,993497.044,3,Loyal Customers
C100549,381,2,70989.45,2,New / Low Engagement
C100550,187,5,517379.31,1,At Risk
C100551,291,7,837417.1000000001,3,Loyal Customers
C100552,52,7,576284.0800000001,1,At Risk
C100553,163,10,917690.5,3,Loyal Customers
C100554,83,15,1718992.65,0,Champions
C100555,27,8,1163880.48,3,Loyal Customers
C100556,227,10,783993.4,3,Loyal Customers
C100557,28,10,1107762.08,0,Champions
C100558,22,12,1723211.56,0,Champions
C100559,206,6,857891.95,3,Loyal Customers
C100560,392,3,289336.58,2,New / Low Engagement
C100561,197,5,253122.76,1,At Risk
C100562,83,9,1371763.3,0,Champions
C100563,63,6,856755.6699999999,3,Loyal Customers
C100564,310,5,447086.65,2,New / Low Engagement
C100565,195,9,646690.49,3,Loyal Customers
C100566,449,9,1370900.52,0,Champions
C100567,195,5,252623.63,1,At Risk
C100568,72,8,931490.71,3,Loyal Customers
C100569,169,7,1099888.8477999999,3,Loyal Customers
C100570,69,7,742311.14,3,Loyal Customers
C100571,45,6,845295.78,3,Loyal Customers
C100572,139,2,58982.17,1,At Risk
C100573,242,2,104347.96,1,At Risk
C100574,16,9,1269448.19,0,Champions
C100575,10,3,626429.44,1,At Risk
C100576,170,12,1416598.76,0,Champions
C100577,119,10,987846.63,3,Loyal Customers
C100578,98,11,997726.78,0,Champions
C100579,33,7,773365.65,3,Loyal Customers
C100580,18,10,957481.65,3,Loyal Customers
C100581,329,4,386629.10199999996,2,New / Low Engagement
C100582,152,6,478073.97,1,At Risk
C100583,69,9,631906.26,3,Loyal Customers
C100584,119,8,984537.7799999999,3,Loyal Customers
C100585,16,5,645312.96,1,At Risk
C100586,45,12,1068508.1400000001,0,Champions
C100587,247,10,1087339.03,3,Loyal Customers
C100588,48,8,893975.97,3,Loyal Customers
C100589,11,10,994630.22,3,Loyal Customers
C100590,251,8,524850.15,3,Loyal Customers
C100591,5,10,1055706.17,0,Champions
C100592,120,5,434762.58999999997,1,At Risk
C100593,133,9,1377937.5899999999,0,Champions
C100594,146,6,555908.88,1,At Risk
C100595,364,5,558250.3200000001,2,New / Low Engagement
C100596,343,7,1092763.77,3,Loyal Customers
C100597,459,5,650245.77,2,New / Low Engagement
C100598,708,3,323817.12,2,New / Low Engagement
C100599,338,5,674664.08,2,New / Low Engagement
C100600,18,8,905666.51,3,Loyal Customers
C100601,95,7,708664.72,3,Loyal Customers
C100602,55,11,1188215.22,0,Champions
C100603,30,9,1062514.58,3,Loyal Customers
C100604,459,7,714726.27,2,New / Low Engagement
C100605,41,13,1544840.09,0,Champions
C100606,50,14,1433287.23,0,Champions
C100607,238,10,1606182.0,0,Champions
C100608,241,12,1270362.9,0,Champions
C100609,20,7,669582.254,3,Loyal Customers
C100610,18,4,631771.99,1,At Risk
C100611,48,8,1069019.74,3,Loyal Customers
C100612,27,8,741511.13,3,Loyal Customers
C100613,28,8,694432.35,3,Loyal Customers
C100614,227,6,504829.24,1,At Risk
C100615,156,5,541509.4,1,At Risk
C100616,90,5,670548.05,1,At Risk
C100617,60,10,1114968.453,0,Champions
C100618,11,9,1001458.32,3,Loyal Customers
C100619,93,11,1013551.8099999999,0,Champions
C100620,180,10,1090745.57,3,Loyal Customers
C100621,198,5,605438.63,1,At Risk
C100622,351,6,876299.39,2,New / Low Engagement
C100623,84,13,1193053.45,0,Champions
C100624,25,9,931472.2300000001,3,Loyal Customers
C100625,199,7,776835.7000000001,3,Loyal Customers
C100626,189,11,1037638.52,0,Champions
